Date,Renaissance bordeaux,Mercure charrons,Seeko,Mercure gare,Hilton Bordeaux,Marty bordeaux,Radisson blue,Hotel 56
2025-09-01,153,131,116,103,92,139,114,98
2025-09-02,153,140,116,129,93,138,118,109
2025-09-03,180,140,116,138,134,138,129,130
2025-09-04,180,142,116,139,null,422,217,130
2025-09-05,null,131,116,160,181,300,151,147
2025-09-06,null,127,116,null,123,384,151,174
2025-09-07,138,120,116,94,92,193,129,120
2025-09-08,244,124,157,152,136,193,217,163
2025-09-09,null,null,118,146,119,179,196,152
2025-09-10,215,185,200,142,143,245,174,163
2025-09-11,null,153,153,148,191,240,null,174
2025-09-12,254,127,118,129,123,227,200,218
2025-09-13,239,129,118,140,163,224,130,250
2025-09-14,138,111,118,108,128,180,122,141
2025-09-15,203,171,118,146,183,247,130,240
2025-09-16,null,204,161,161,147,265,122,196
2025-09-17,299,190,113,162,139,407,168,163
2025-09-18,null,193,201,null,131,265,null,174
2025-09-19,280,151,161,118,144,247,null,207
2025-09-20,280,115,161,141,168,247,null,207
2025-09-21,138,113,113,104,110,178,139,141
2025-09-22,188,158,153,154,144,null,174,152
2025-09-23,276,185,190,160,158,202,null,174
2025-09-24,null,185,190,160,159,322,180,152
2025-09-25,240,157,190,152,163,206,null,174
2025-09-26,380,114,118,137,134,247,180,120
2025-09-27,208,124,118,118,124,246,127,163
2025-09-28,138,113,118,101,119,164,131,109
2025-09-29,188,140,153,164,230,181,200,141
2025-09-30,240,null,160,163,167,181,200,152
2025-10-01,null,null,178,174,230,231,180,163
2025-10-02,161,null,178,184,206,211,245,190
2025-10-03,300,136,178,118,132,204,180,163
2025-10-04,300,119,178,118,121,212,142,163
2025-10-05,230,140,110,86,99,155,127,109
2025-10-06,184,130,110,139,175,225,163,130
2025-10-07,230,157,110,142,131,229,180,163
2025-10-08,null,null,187,153,147,236,218,229
2025-10-09,null,157,174,150,147,240,180,225
2025-10-10,157,132,138,118,201,264,140,147
2025-10-11,203,120,140,122,122,206,163,147
2025-10-12,161,null,121,86,91,154,122,98
2025-10-13,180,136,121,126,126,215,140,162
2025-10-14,165,171,140,147,126,240,null,141
2025-10-15,169,166,167,149,126,225,245,157
2025-10-16,null,143,160,137,183,240,155,157
2025-10-17,165,129,146,114,111,347,114,142
2025-10-18,172,111,105,98,92,139,116,142
2025-10-19,153,113,105,94,92,131,155,98
2025-10-20,153,152,105,126,120,139,245,117
2025-10-21,153,166,105,130,116,139,180,117
2025-10-22,153,166,105,127,115,139,180,117
2025-10-23,null,124,105,105,N/A,139,180,117
2025-10-24,161,107,105,96,89,148,137,117
2025-10-25,161,107,105,93,84,139,114,117
2025-10-26,138,101,105,94,97,131,114,98
2025-10-27,138,119,105,115,126,139,114,98
2025-10-28,138,162,118,113,107,139,114,98
2025-10-29,138,162,118,111,108,139,114,98
2025-10-30,138,128,118,102,94,139,114,98
2025-10-31,138,106,118,97,88,148,114,117
2025-11-01,200,99,118,91,76,157,122,108
2025-11-02,130,89,118,83,84,123,122,98
2025-11-03,161,99,118,107,95,123,122,108
2025-11-04,161,null,118,123,100,120,129,117
